,crit_r1,crit_r2,crit_r3,crit_r4,crit_r5,crit_r6,crit_r7,cont_r1,cont_r2,cont_r3,cont_r4,cont_r5,cont_r6,cont_r7,item_id
21,-28.780872344970703,-19.97858428955078,-20.682601928710938,-26.962696075439453,-18.245853424072266,-26.07105255126953,-23.371490478515625,-18.727148056030273,-20.358774185180664,-16.86465072631836,-22.52330780029297,-20.26603126525879,-27.63397789001465,-25.445301055908203,3_B_NP1_un
22,-28.780872344970703,-19.97858428955078,-20.682601928710938,-24.47043800354004,-18.506237030029297,-26.15354347229004,-23.447738647460938,-18.845203399658203,-19.154338836669922,-18.74066162109375,-23.30829620361328,-20.464693069458008,-27.897933959960938,-25.575214385986328,3_B_NP2_amb
23,-28.780872344970703,-19.97858428955078,-20.682601928710938,-27.852191925048828,-18.30355453491211,-25.960220336914062,-23.31081771850586,-18.73431396484375,-19.208274841308594,-18.674755096435547,-23.250158309936523,-20.325401306152344,-27.870948791503906,-25.54764175415039,3_B_NP2_un
24,-19.82876205444336,-19.004474639892578,-24.293563842773438,-25.761402130126953,-25.949995040893555,-13.417350769042969,-17.108821868896484,-20.814716339111328,-21.894052505493164,-15.541996002197266,-23.746788024902344,-25.870277404785156,-18.50304412841797,-47.28392791748047,4_A_NP1_amb
25,-19.82876205444336,-19.004474639892578,-26.19776153564453,-25.438827514648438,-25.89870262145996,-13.457149505615234,-17.409198760986328,-20.758243560791016,-21.974977493286133,-15.668167114257812,-23.705320358276367,-25.939544677734375,-18.40363121032715,-47.377838134765625,4_A_NP1_un
26,-19.82876205444336,-19.004474639892578,-24.293563842773438,-25.761402130126953,-25.949995040893555,-13.417350769042969,-17.108821868896484,-20.814716339111328,-21.256975173950195,-16.88750457763672,-23.935766220092773,-26.10301971435547,-18.56338119506836,-47.58539581298828,4_A_NP2_amb
27,-19.82876205444336,-19.004474639892578,-27.608600616455078,-25.741504669189453,-25.85848045349121,-13.33945083618164,-17.246505737304688,-20.60563850402832,-21.384658813476562,-16.829833984375,-23.84821319580078,-26.095306396484375,-18.507150650024414,-47.672149658203125,4_A_NP2_un
28,-22.08697509765625,-19.255603790283203,-24.134422302246094,-25.754398345947266,-25.939498901367188,-13.32947063446045,-17.170482635498047,-20.819408416748047,-21.032611846923828,-16.958335876464844,-23.940486907958984,-26.287721633911133,-18.56352424621582,-47.603336334228516,4_B_NP1_amb
29,-22.08697509765625,-19.255603790283203,-27.611431121826172,-25.59333610534668,-25.72258758544922,-13.27717113494873,-17.36081314086914,-20.588979721069336,-21.233177185058594,-16.891462326049805,-23.882854461669922,-26.307788848876953,-18.535818099975586,-47.69908905029297,4_B_NP1_un
30,-22.08697509765625,-19.255603790283203,-24.134422302246094,-25.754398345947266,-25.939498901367188,-13.32947063446045,-17.170482635498047,-20.819408416748047,-22.226985931396484,-15.722410202026367,-24.269399642944336,-25.65132713317871,-18.490280151367188,-47.30219268798828,4_B_NP2_amb
